scenario,dimension,algorithm,short_name,trial_id,success,iterations,path_length,planning_time,tree_nodes,first_solution_iter,convergence_time,effective_sampling_ratio,smoothness,clearance
2D_HighDensity,2D,Informed-RRT*,IRRT,1,False,600,inf,2.4820926189422607,1072,inf,inf,0.31,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,2,False,600,inf,2.6352386474609375,1058,inf,inf,0.2866666666666667,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,3,False,600,inf,2.4508559703826904,952,inf,inf,0.29083333333333333,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,4,False,600,inf,2.5432770252227783,1062,inf,inf,0.2816666666666667,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,5,False,600,inf,2.4605839252471924,1026,inf,inf,0.32916666666666666,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,6,False,600,inf,2.404299020767212,1042,inf,inf,0.30416666666666664,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,7,True,600,2374.8734590466524,2.5356783866882324,1050,523.0,2.1403818130493164,0.2975,30.48143302714925,32.215769957827355
2D_HighDensity,2D,Informed-RRT*,IRRT,8,False,600,inf,2.5169520378112793,1041,inf,inf,0.29583333333333334,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,9,False,600,inf,2.5343446731567383,1008,inf,inf,0.30916666666666665,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,10,False,600,inf,2.4057397842407227,982,inf,inf,0.3075,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,11,False,600,inf,2.3791403770446777,1041,inf,inf,0.31666666666666665,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,12,True,600,2245.7840033892576,2.5212223529815674,1099,538.0,2.16642165184021,0.30416666666666664,32.575227028552966,30.553953932049406
2D_HighDensity,2D,Informed-RRT*,IRRT,13,False,600,inf,2.609154224395752,1072,inf,inf,0.31333333333333335,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,14,False,600,inf,2.868271589279175,980,inf,inf,0.275,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,15,False,600,inf,3.77803373336792,1050,inf,inf,0.30666666666666664,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,16,False,600,inf,3.520136833190918,1027,inf,inf,0.27,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,17,False,600,inf,3.490786075592041,1084,inf,inf,0.2941666666666667,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,18,False,600,inf,3.486682891845703,1000,inf,inf,0.30083333333333334,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,19,False,600,inf,3.7351393699645996,1076,inf,inf,0.28583333333333333,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,20,False,600,inf,3.4961674213409424,951,inf,inf,0.3016666666666667,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,21,False,600,inf,3.641113042831421,1049,inf,inf,0.2975,inf,0.0
